2,20.7.23,W1T2,sets,load ,reps,Effort ,load per ex,Epley AVG,📊,Optima,change optima,Comments
,,squat,2,"20,20","10,5","0,0",300,25,,200,,
,,Leg Press,3,"20,30,40","30,25,20","0,0,0",2150,54,,800,,
,,Leg Curl,2,"5,5","15,15","0,0",150,7,,75,,
,,calves ,2,"30,30","20,20","0,1",1200,50,,600,,
,Total,,9,200,160,1,3800,136,,,,
3,22.7.23,W1T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,inline bench,5,"20,30,35,35,35","30,20,15,15,15","0,1,1,1,1",2775,49,,600,,
,,overhead press,3,"10,15,15","20,15,15","0,1,1",650,20,,225,,
,,rope pushdown,2,"25,25","20,20","1,1",1000,42,,500,,
,,barbel curls,2,"15,15","20,20","1,1",600,25,,300,,
,Total,,12,275,225,10,5025,136,,,,
4,25.7.23,W2T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,squat,3,"20,20,20","10,12,11","0,0,0",660,27,,240,,
,,deadlift,2,"20,20","10,15","0,1",500,28,,300,,
,,calves ,2,"30,35","25,25","0,1",1625,59,,875,,
,,abs,2,"20,25","25,25","0,0",500,41,,625,,
,Total,,9,210,158,2,3285,155,,,,
5,26.7.23,W2T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,inline bench,5,"20,30,35,35,35","30,21,16,16,17",,2945,50,6.13,630,5,
,,overhead press,3,"10,15,15","21,20,20",,810,22,24.62,300,33.33333333,
,,rope pushdown,3,"25,30,30","25,15,15",,1525,45,52.5,625,25,
,,barbel curls,2,"15,15","20,23",,645,26,7.5,345,15,
,Total,,13,310,259,,5925,143,17.91,,,
6,28.7.23,W2T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,Today is 27.7.23 and for a second day I feel tired. So tomorrow when I do legs I will not try to do anything more than the previous training on 25th,squat,3,"20,20,25","10,12,10","0,1,1",690,29,4.55,250,4.166666667,"Next time I can do 20,30,35 for 10-12 reps"
,,deadlift,3,"25,30,35","12,12,12","0,0,1",1080,42,116,420,40,"I can try 30, 35, 40 for 10-12 "
